TimeStamp,GASOLINE
2020-06-15 00:00:00,116.57
2020-06-16 00:00:00,120.73
2020-06-17 00:00:00,121.53
2020-06-18 00:00:00,125.77
2020-06-19 00:00:00,127.16
2020-06-22 00:00:00,129.13
2020-06-23 00:00:00,129.94
2020-06-24 00:00:00,119.64
2020-06-25 00:00:00,119.42
2020-06-26 00:00:00,115.33
2020-06-30 00:00:00,120.01
2020-07-01 00:00:00,121.69
2020-07-02 00:00:00,125.92
2020-07-06 00:00:00,124.08
2020-07-07 00:00:00,127.5
2020-07-08 00:00:00,129.09
2020-07-09 00:00:00,125.05
2020-07-10 00:00:00,128.31
2020-07-13 00:00:00,127.34
2020-07-14 00:00:00,124.74
2020-07-15 00:00:00,126.45
2020-07-16 00:00:00,123.39
2020-07-17 00:00:00,122.45
2020-07-20 00:00:00,122.85
2020-07-21 00:00:00,127.97
2020-07-22 00:00:00,128.28
2020-07-23 00:00:00,125.86
2020-07-24 00:00:00,128.48
2020-07-27 00:00:00,127.47
2020-07-28 00:00:00,126.56
2020-07-29 00:00:00,124.15
2020-07-30 00:00:00,122.04
2020-07-31 00:00:00,118.71
2020-08-03 00:00:00,121.31
2020-08-04 00:00:00,121.43
2020-08-05 00:00:00,122.28
2020-08-06 00:00:00,122.81
2020-08-07 00:00:00,120.76
2020-08-10 00:00:00,122.93
2020-08-11 00:00:00,120.45
