Datetime,PJME_MW
2010-01-01 00:00:00,31647.0
2010-01-01 01:00:00,30075.0
2010-01-01 02:00:00,28907.0
2010-01-01 03:00:00,27906.0
2010-01-01 04:00:00,27373.0
2010-01-01 05:00:00,27411.0
2010-01-01 06:00:00,27955.0
2010-01-01 07:00:00,28696.0
2010-01-01 08:00:00,29003.0
2010-01-01 09:00:00,29579.0
2010-01-01 10:00:00,30771.0
2010-01-01 11:00:00,31618.0
2010-01-01 12:00:00,31904.0
2010-01-01 13:00:00,31679.0
2010-01-01 14:00:00,31414.0
2010-01-01 15:00:00,31233.0
2010-01-01 16:00:00,31443.0
2010-01-01 17:00:00,32890.0
2010-01-01 18:00:00,35665.0
2010-01-01 19:00:00,35662.0
2010-01-01 20:00:00,35385.0
2010-01-01 21:00:00,35105.0
2010-01-01 22:00:00,34309.0
2010-01-01 23:00:00,32956.0
2010-01-02 00:00:00,31355.0
2010-01-02 01:00:00,29869.0
2010-01-02 02:00:00,29003.0
2010-01-02 03:00:00,28620.0
2010-01-02 04:00:00,28587.0
2010-01-02 05:00:00,28903.0
2010-01-02 06:00:00,29780.0
2010-01-02 07:00:00,31180.0
2010-01-02 08:00:00,32407.0
2010-01-02 09:00:00,33956.0
2010-01-02 10:00:00,35490.0
2010-01-02 11:00:00,36272.0
2010-01-02 12:00:00,36343.0
2010-01-02 13:00:00,36173.0
2010-01-02 14:00:00,35838.0
2010-01-02 15:00:00,35671.0
2010-01-02 16:00:00,35915.0
2010-01-02 17:00:00,37688.0
2010-01-02 18:00:00,41163.0
2010-01-02 19:00:00,41706.0
2010-01-02 20:00:00,41505.0
2010-01-02 21:00:00,41096.0
2010-01-02 22:00:00,40243.0
2010-01-02 23:00:00,38658.0
2010-01-03 00:00:00,36811.0
2010-01-03 01:00:00,35225.0
2010-01-03 02:00:00,34360.0
2010-01-03 03:00:00,33890.0
2010-01-03 04:00:00,33701.0
2010-01-03 05:00:00,33890.0
2010-01-03 06:00:00,34576.0
2010-01-03 07:00:00,35548.0
2010-01-03 08:00:00,36407.0
2010-01-03 09:00:00,37326.0
2010-01-03 10:00:00,38233.0
2010-01-03 11:00:00,38813.0
2010-01-03 12:00:00,38929.0
2010-01-03 13:00:00,38744.0
2010-01-03 14:00:00,38450.0
2010-01-03 15:00:00,38217.0
2010-01-03 16:00:00,38502.0
2010-01-03 17:00:00,40088.0
2010-01-03 18:00:00,43025.0
2010-01-03 19:00:00,43238.0
2010-01-03 20:00:00,42786.0
2010-01-03 21:00:00,42014.0
2010-01-03 22:00:00,40264.0
2010-01-03 23:00:00,37884.0
2010-01-04 00:00:00,35678.0
2010-01-04 01:00:00,33978.0
2010-01-04 02:00:00,33202.0
2010-01-04 03:00:00,32903.0
2010-01-04 04:00:00,32954.0
2010-01-04 05:00:00,33668.0
2010-01-04 06:00:00,35787.0
2010-01-04 07:00:00,39601.0
2010-01-04 08:00:00,41373.0
2010-01-04 09:00:00,41143.0
2010-01-04 10:00:00,40993.0
2010-01-04 11:00:00,40758.0
2010-01-04 12:00:00,40384.0
2010-01-04 13:00:00,39847.0
2010-01-04 14:00:00,39400.0
2010-01-04 15:00:00,39049.0
2010-01-04 16:00:00,39109.0
2010-01-04 17:00:00,40610.0
2010-01-04 18:00:00,43897.0
2010-01-04 19:00:00,43991.0
2010-01-04 20:00:00,43588.0
2010-01-04 21:00:00,42685.0
2010-01-04 22:00:00,40774.0
2010-01-04 23:00:00,37938.0
2010-01-05 00:00:00,35212.0
2010-01-05 01:00:00,33387.0
2010-01-05 02:00:00,32478.0
2010-01-05 03:00:00,32044.0
2010-01-05 04:00:00,32192.0
2010-01-05 05:00:00,32982.0
2010-01-05 06:00:00,35156.0
2010-01-05 07:00:00,38987.0
